id_detalle_carga,id_carga,id_detalle_orden,peso,observaciones,fecha_creacion,fecha_actualizacion
58bcc478-4111-4a07-90bf-e956103112a6,edc48715-e882-44de-86a4-2cd58a4defc5,a6e963e6-fe5d-4a04-8cb6-e5f81eafeb18,57.97,Alias voluptates quas voluptatibus eos.,2025-06-01T00:41:19.652612,2025-06-01T00:41:19.652612
39dd5da4-7ee7-46c0-82e1-c6c5bde6f02c,edc48715-e882-44de-86a4-2cd58a4defc5,a23316d4-9bb4-4b7d-8a77-6f9b22dc1788,3.82,Ex natus repudiandae enim dolorem dolorum aliquid.,2025-06-01T00:41:19.652612,2025-06-01T00:41:19.652612
33aecb12-0215-449c-bccc-40ca1b91b990,1fe7673a-a14a-4530-86df-a1a7a20ba9e5,67a95a03-9b1f-40b0-9d3b-b61a97017edc,20.16,Expedita nemo fuga mollitia eos sequi porro.,2025-06-01T00:47:19.652612,2025-06-01T00:47:19.652612
5b083694-8440-428e-8462-db6c26cd6bc2,1fe7673a-a14a-4530-86df-a1a7a20ba9e5,b1f12ffa-c78d-4d69-a1c0-db368db85172,69.99,Sequi fugit unde eligendi quis.,2025-06-01T00:47:19.652612,2025-06-01T00:47:19.652612
a9c21de6-1180-4220-b6e6-7c91f994058c,1fe7673a-a14a-4530-86df-a1a7a20ba9e5,7fb140ab-87c4-4826-9415-f4255b8e8de0,63.39,Cumque consequatur officia debitis nisi doloribus commodi.,2025-06-01T00:47:19.652612,2025-06-01T00:47:19.652612
299c7d79-9a75-4fcb-a01f-a06c8b1263a1,941e4ce8-c0dd-446e-9a8a-8cf37c7dc060,9da1c8fe-8a00-484b-99d5-45425a870ee5,3.81,Minus earum id totam at iusto velit numquam.,2025-06-01T00:49:19.652612,2025-06-01T00:49:19.652612
bb821c69-4d2c-49b8-a16b-1e240284ef6f,941e4ce8-c0dd-446e-9a8a-8cf37c7dc060,f97a742d-d415-460a-b2d9-5ac10f72140a,42.1,Debitis dolore iure assumenda beatae.,2025-06-01T00:49:19.652612,2025-06-01T00:49:19.652612
6bed1a69-1c4e-49b2-b924-1fdbffcc0226,941e4ce8-c0dd-446e-9a8a-8cf37c7dc060,53079a39-bda0-41b9-8e62-eb459fbb9db4,29.76,Deleniti mollitia architecto accusamus expedita quos quas tempora.,2025-06-01T00:49:19.652612,2025-06-01T00:49:19.652612
3aafe51c-2516-4921-8a77-6c206aa22c2d,7633b67e-7d3e-40b1-bb96-64a52f4a31e1,5d4a7a39-d77d-4d52-8a12-96ab3743f7af,23.06,Animi magni mollitia.,2025-06-01T00:33:19.652612,2025-06-01T00:33:19.652612
65d8693c-903f-4f7e-800f-b2fc596c72b3,7633b67e-7d3e-40b1-bb96-64a52f4a31e1,62c60eec-6124-40df-a3fd-cd755626e57a,64.59,Esse praesentium repellat autem omnis itaque libero.,2025-06-01T00:33:19.652612,2025-06-01T00:33:19.652612
43543be9-ef86-4909-9672-cd02c24b95c5,7633b67e-7d3e-40b1-bb96-64a52f4a31e1,ee543c14-74dd-44e0-8fa2-fed0bf43da18,16.35,Ad natus qui accusamus ad fugit est repellendus.,2025-06-01T00:33:19.652612,2025-06-01T00:33:19.652612
4f1f82fa-4838-4758-8611-1fe5589c0fad,88830a46-c6ad-4664-9892-acc3cdf05ab7,fb59bb62-acb9-485c-b490-01d5359e9a38,83.23,Quibusdam soluta eligendi delectus molestias.,2025-06-01T00:46:19.652612,2025-06-01T00:46:19.652612
aff7614d-f27b-4d12-ba3a-62ff7ec6c536,88830a46-c6ad-4664-9892-acc3cdf05ab7,80f8e45a-5215-40e6-b3c8-ea7d8d991228,30.96,Quaerat repudiandae eum eius.,2025-06-01T00:46:19.652612,2025-06-01T00:46:19.652612
279685e0-5ad3-4762-8bb1-391db592ed67,88830a46-c6ad-4664-9892-acc3cdf05ab7,5d64fe2b-1f80-4a67-a482-0ef3dfc95674,76.5,Autem vero harum aperiam commodi.,2025-06-01T00:46:19.652612,2025-06-01T00:46:19.652612
c1550c13-2045-4f81-8acf-c94844975346,21204719-fadc-4048-aff4-95fb76ef6fdd,db85b0d0-6499-4a7c-a6b2-3643f8d5ffcb,51.39,Illum voluptate soluta optio corrupti molestias vel mollitia.,2025-06-01T00:31:19.652612,2025-06-01T00:31:19.652612
179b36e9-9e29-4926-b01d-9c83bd8aca16,21204719-fadc-4048-aff4-95fb76ef6fdd,2bdbfe91-09ce-44b9-ad70-d195ac2cf149,9.26,Laudantium dolorum saepe.,2025-06-01T00:31:19.652612,2025-06-01T00:31:19.652612
11ba8b64-3b02-4c4a-b90e-f39825eb436f,7d727771-75ad-41be-9eb7-00d301635c88,4bfaed2a-5ad0-4c77-bbdd-42b92e6b55da,86.55,Maiores totam unde id laborum.,2025-06-01T00:30:19.652612,2025-06-01T00:30:19.652612
79d12597-b1d0-49eb-9930-73430da50409,7d727771-75ad-41be-9eb7-00d301635c88,1e9520fb-19d2-4610-bd4b-0397fd6f2ae9,86.81,Veritatis porro unde quod odit ipsum.,2025-06-01T00:30:19.652612,2025-06-01T00:30:19.652612
7f9bc5e9-e2c3-45f6-ba26-b4deca7225b9,7d727771-75ad-41be-9eb7-00d301635c88,eec06b28-d63a-498c-b240-29057c457d1c,48.89,Consequuntur eveniet incidunt quibusdam totam.,2025-06-01T00:30:19.652612,2025-06-01T00:30:19.652612
0028ee11-8cb2-492c-beac-6f6d9670244f,7d727771-75ad-41be-9eb7-00d301635c88,f8d5f9c7-d28e-47ca-9777-d0bb8c31c68c,59.84,Est nobis blanditiis quis occaecati nulla optio.,2025-06-01T00:30:19.652612,2025-06-01T00:30:19.652612
