id_tramo_ruta,id_origen,id_destino,nombre_ruta,recorrido_km,distancia_km,tiempo_estimado,ruta_planificada,estado_ruta,fecha_creacion,fecha_actualizacion
8be3f9d9-9dc3-405d-981d-2333878a08a1,ecf7af2d-adc1-4d74-b30d-72e126939c81,5df247f6-73eb-42d6-bbab-11b401498bf0,"Ruta Terminal 1 - P5F2+CCF, Lurín 15823, Peru - Cliente Conectado 3 - 74J9+MQ Carabayllo, Peru",105.02,0.56,2:31:54,"{(-76.849285,-12.276377),(-76.852544,-12.29482),(-76.844717,-12.30108),(-76.848843,-12.300031),(-76.975206,-12.221752),(-76.978613,-12.172377),(-76.974305,-12.055867),(-77.056148,-12.031279),(-77.056154,-12.031144),(-77.057476,-12.028709),(-77.060025,-12.012936),(-77.060431,-12.012585),(-77.060537,-12.011657),(-77.060606,-12.010621),(-77.060891,-12.008925),(-77.060887,-12.008797),(-77.061653,-12.004596),(-77.063054,-11.995492),(-77.063228,-11.995197),(-77.06793,-11.965097),(-77.065656,-11.962182),(-77.062954,-11.961831),(-77.02105,-11.870352),(-77.015793,-11.864662),(-77.009269,-11.857156),(-77.009156,-11.857208),(-77.004275,-11.858067),(-76.870858,-11.695747),(-76.878462,-11.715486)}",True,2025-06-05T00:08:20.542455,2025-06-05T00:08:20.542455
4451d8c5-e42f-4be3-adb9-44a89e035eb0,ecf7af2d-adc1-4d74-b30d-72e126939c81,3e44dcfc-1a2a-4be7-9ef2-753dd17104bb,"Ruta Terminal 1 - P5F2+CCF, Lurín 15823, Peru - Cliente Conectado 5 - QXFM+MJ Chorrillos, Peru",26.34,0.18,0:32:50,"{(-76.849285,-12.276377),(-76.852544,-12.29482),(-76.844717,-12.30108),(-76.848843,-12.300031),(-76.975206,-12.221752),(-76.979326,-12.21742),(-76.996765,-12.199807),(-76.996437,-12.200432),(-77.008949,-12.212467),(-77.011768,-12.211305),(-77.01327,-12.213325),(-77.013645,-12.21394)}",True,2025-06-05T00:08:21.305734,2025-06-05T00:08:21.305734
8ace2a49-0f3d-411c-bb8d-b403f8277232,ecf7af2d-adc1-4d74-b30d-72e126939c81,8be64eea-d053-4641-9522-d4a03129732c,"Ruta Terminal 1 - P5F2+CCF, Lurín 15823, Peru - Cliente Conectado 6 - 4VV3+94M, Ventanilla 07071, Peru",78.94,0.52,1:49:09,"{(-76.849285,-12.276377),(-76.852544,-12.29482),(-76.844717,-12.30108),(-76.848843,-12.300031),(-76.975206,-12.221752),(-76.978613,-12.172377),(-76.974305,-12.055867),(-77.010557,-12.035238),(-77.044622,-12.036969),(-77.081456,-12.036529),(-77.099088,-12.04017),(-77.105686,-12.022408),(-77.118039,-12.000153),(-77.124712,-11.997389),(-77.125456,-11.996525),(-77.126504,-11.876707),(-77.130667,-11.877745),(-77.139102,-11.871806),(-77.145282,-11.864592),(-77.144871,-11.858597),(-77.144715,-11.858352),(-77.147101,-11.856411)}",True,2025-06-05T00:08:21.707289,2025-06-05T00:08:21.707289
9b53093c-ffb7-49d4-b867-6f465337bcc5,ecf7af2d-adc1-4d74-b30d-72e126939c81,559a0ff4-c742-4d79-8f92-1c9f5543bda8,"Ruta Terminal 1 - P5F2+CCF, Lurín 15823, Peru - Cliente Conectado 7 - X4PJ+G3Q, Av. Colectora, Ate 15487, Peru",57.25,0.26,1:09:27,"{(-76.849285,-12.276377),(-76.852544,-12.29482),(-76.844717,-12.30108),(-76.848843,-12.300031),(-76.975206,-12.221752),(-76.978613,-12.172377),(-76.974305,-12.055867),(-76.98935,-12.035028),(-76.987931,-12.031852),(-76.905275,-12.015403),(-76.897623,-12.018104),(-76.897554,-12.018262),(-76.895713,-12.018102),(-76.868281,-12.00974),(-76.872108,-12.01316)}",True,2025-06-05T00:08:22.090736,2025-06-05T00:08:22.090736
4c672de3-ce30-4ee7-bd6a-ec67e2cc0569,ecf7af2d-adc1-4d74-b30d-72e126939c81,9fda846e-5971-4281-a160-e1a20e91b452,"Ruta Terminal 1 - P5F2+CCF, Lurín 15823, Peru - Cliente Conectado 10 - 423Q+957, San Antonio de Chaclla 15449, Peru",80.37,0.4,2:06:10,"{(-76.849285,-12.276377),(-76.852544,-12.29482),(-76.844717,-12.30108),(-76.848843,-12.300031),(-76.975206,-12.221752),(-76.978613,-12.172377),(-76.974305,-12.055867),(-77.056148,-12.031279),(-77.056154,-12.031144),(-77.057476,-12.028709),(-77.060025,-12.012936),(-77.060431,-12.012585),(-77.060537,-12.011657),(-77.060606,-12.010621),(-77.060891,-12.008925),(-77.060887,-12.008797),(-77.061653,-12.004596),(-77.063054,-11.995492),(-77.063228,-11.995197),(-77.06793,-11.965097),(-77.065656,-11.962182),(-77.062954,-11.961831),(-77.047774,-11.915296),(-77.041444,-11.917213),(-77.038067,-11.918411),(-77.037948,-11.9182),(-77.032363,-11.917067),(-77.025566,-11.914583),(-77.025822,-11.91358),(-76.995257,-11.912455),(-76.966508,-11.911551),(-76.963122,-11.906652),(-76.96529,-11.905128),(-76.965566,-11.904625),(-76.960207,-11.896789),(-76.961416,-11.895899),(-76.962004,-11.896634)}",True,2025-06-05T00:08:23.083707,2025-06-05T00:08:23.083707
d9e9be4e-f407-41bf-bed3-f6751aa34a20,ecf7af2d-adc1-4d74-b30d-72e126939c81,aa68eac3-454c-4047-b9a5-dae853648b92,"Ruta Terminal 1 - P5F2+CCF, Lurín 15823, Peru - Cliente Conectado 11 - RX8G+86, Chorrillos 15066, Peru",33.11,0.2,0:58:06,"{(-76.849285,-12.276377),(-76.852544,-12.29482),(-76.844717,-12.30108),(-76.848843,-12.300031),(-76.975206,-12.221752),(-76.979326,-12.21742),(-77.007441,-12.184912),(-77.007783,-12.184015),(-77.026747,-12.166257),(-77.033547,-12.167164),(-77.036331,-12.169592),(-77.034625,-12.171577),(-77.031088,-12.174112),(-77.030293,-12.172847),(-77.024554,-12.184167)}",True,2025-06-05T00:08:23.481535,2025-06-05T00:08:23.481535
2acdfbf4-323d-4fe0-b147-432c097287e3,ecf7af2d-adc1-4d74-b30d-72e126939c81,e0ce8946-f0f9-4ac8-b6ce-9d65b0a06a29,"Ruta Terminal 1 - P5F2+CCF, Lurín 15823, Peru - Cliente Conectado 12 - 55WM+3C San Antonio, Peru",172.89,0.47,5:47:55,"{(-76.849285,-12.276377),(-76.852544,-12.29482),(-76.844717,-12.30108),(-76.848843,-12.300031),(-76.975206,-12.221752),(-76.978613,-12.172377),(-76.974305,-12.055867),(-77.056148,-12.031279),(-77.056154,-12.031144),(-77.057476,-12.028709),(-77.060025,-12.012936),(-77.060431,-12.012585),(-77.060537,-12.011657),(-77.060606,-12.010621),(-77.060891,-12.008925),(-77.060887,-12.008797),(-77.061653,-12.004596),(-77.063054,-11.995492),(-77.063228,-11.995197),(-77.06793,-11.965097),(-77.065656,-11.962182),(-77.062954,-11.961831),(-77.02105,-11.870352),(-77.015793,-11.864662),(-77.009269,-11.857156),(-77.009156,-11.857208),(-77.004275,-11.858067),(-76.794302,-11.672567),(-76.728743,-11.655346),(-76.68203,-11.695426),(-76.676049,-11.710751),(-76.716757,-11.760937),(-76.720138,-11.75843),(-76.740274,-11.760988),(-76.799003,-11.795513)}",True,2025-06-05T00:08:23.912549,2025-06-05T00:08:23.912549
91fb960e-7246-4fa0-b50a-a544bea22307,ecf7af2d-adc1-4d74-b30d-72e126939c81,7045a27b-19a6-4d6d-bc9f-c5f93d84e28b,"Ruta Terminal 1 - P5F2+CCF, Lurín 15823, Peru - Cliente Conectado 14 - 7VJJ+8X Ancón, Peru",90.37,0.62,1:57:53,"{(-76.849285,-12.276377),(-76.852544,-12.29482),(-76.844717,-12.30108),(-76.848843,-12.300031),(-76.975206,-12.221752),(-76.978613,-12.172377),(-76.974305,-12.055867),(-77.056148,-12.031279),(-77.056154,-12.031144),(-77.057476,-12.028709),(-77.060025,-12.012936),(-77.060431,-12.012585),(-77.060537,-12.011657),(-77.060606,-12.010621),(-77.060891,-12.008925),(-77.060887,-12.008797),(-77.061653,-12.004596),(-77.063054,-11.995492),(-77.063228,-11.995197),(-77.073778,-11.915619),(-77.069191,-11.873508),(-77.072759,-11.867166),(-77.10267,-11.842144),(-77.158084,-11.781231),(-77.130199,-11.73085),(-77.129776,-11.730407),(-77.130211,-11.729012),(-77.128878,-11.727744),(-77.127021,-11.725903)}",True,2025-06-05T00:08:24.497753,2025-06-05T00:08:24.497753
5df6a126-aac6-4875-b646-dc96d128d089,ecf7af2d-adc1-4d74-b30d-72e126939c81,64b21638-2d9c-4a79-b060-a1a52c56ec42,"Ruta Terminal 1 - P5F2+CCF, Lurín 15823, Peru - Cliente Conectado 17 - G5WF+7P Pucusana, Peru",33.22,0.18,0:42:53,"{(-76.849285,-12.276377),(-76.852544,-12.29482),(-76.845213,-12.302209),(-76.845119,-12.302262),(-76.840851,-12.304183),(-76.752355,-12.462054),(-76.75231,-12.464491),(-76.772968,-12.482434),(-76.788965,-12.493429),(-76.794443,-12.489098),(-76.79541,-12.485765),(-76.797054,-12.485379),(-76.796805,-12.484405),(-76.797486,-12.482635),(-76.79723,-12.482445),(-76.797506,-12.481799),(-76.797788,-12.481967),(-76.798069,-12.481382),(-76.798542,-12.481612),(-76.798744,-12.481126),(-76.799519,-12.481333),(-76.800605,-12.480148)}",True,2025-06-05T00:08:25.598456,2025-06-05T00:08:25.598456
16fb103a-4f0d-490f-87f7-b9907f946149,ecf7af2d-adc1-4d74-b30d-72e126939c81,b11b32f1-6bee-4c28-83b3-58db8012dda4,"Ruta Terminal 1 - P5F2+CCF, Lurín 15823, Peru - Cliente Conectado 18 - La Capitana 20, Lima 15461, Peru",53.5,0.28,1:03:30,"{(-76.849285,-12.276377),(-76.852544,-12.29482),(-76.844717,-12.30108),(-76.848843,-12.300031),(-76.975206,-12.221752),(-76.978613,-12.172377),(-76.974305,-12.055867),(-76.98935,-12.035028),(-76.987931,-12.031852),(-76.912386,-12.018646),(-76.912496,-12.006115),(-76.914047,-12.005237),(-76.912172,-12.001807),(-76.912365,-12.001702),(-76.912811,-12.002488),(-76.91319,-12.00232)}",True,2025-06-05T00:08:25.969689,2025-06-05T00:08:25.969689
